elapsed,label,threadName,bytes,sentBytes,grpThreads
1074,HTTP Request Large 13MB,Thread Group 5 5-1,13631755,122,20
5,HTTP Request Little 3KB,Thread Group 5 5-1,3332,122,20
2013,HTTP Request Large 16MB,Thread Group 5 5-4,16777484,122,20
9,HTTP Request Little 2KB,Thread Group 5 5-4,2308,122,20
953,HTTP Request Large 13MB,Thread Group 5 5-11,13631755,122,20
28,HTTP Request Medium 1MB,Thread Group 5 5-2,1048842,122,20
1202,HTTP Request Large 16MB,Thread Group 5 5-12,16777484,122,20
844,HTTP Request Large 10MB,Thread Group 5 5-19,10486027,122,20
97,HTTP Request Medium 1MB,Thread Group 5 5-12,1048842,122,20
1352,HTTP Request Large 16MB,Thread Group 5 5-16,16777484,122,20
163,HTTP Request Medium 2MB,Thread Group 5 5-19,2097418,122,20
1105,HTTP Request Large 16MB,Thread Group 5 5-5,16777484,122,20
1744,HTTP Request Large 20MB,Thread Group 5 5-18,20971788,122,20
117,HTTP Request Medium 2MB,Thread Group 5 5-5,2097418,122,20
171,HTTP Request Medium 1MB,Thread Group 5 5-3,1048842,122,20
357,HTTP Request Medium 3MB,Thread Group 5 5-6,3145994,122,20
1516,HTTP Request Large 16MB,Thread Group 5 5-8,16777484,122,20
1325,HTTP Request Large 16MB,Thread Group 5 5-9,16777484,122,20
10,HTTP Request Little 3KB,Thread Group 5 5-9,3332,122,20
760,HTTP Request Large 10MB,Thread Group 5 5-11,10486027,122,20
374,HTTP Request Medium 3MB,Thread Group 5 5-7,3145994,122,20
7,HTTP Request Little 2KB,Thread Group 5 5-19,2308,122,20
894,HTTP Request Large 10MB,Thread Group 5 5-20,10486027,122,20
305,HTTP Request Medium 3MB,Thread Group 5 5-8,3145994,122,20
246,HTTP Request Medium 3MB,Thread Group 5 5-12,3145994,122,20
304,HTTP Request Medium 3MB,Thread Group 5 5-2,3145994,122,20
138,HTTP Request Medium 1MB,Thread Group 5 5-20,1048842,122,20
90,HTTP Request Medium 1MB,Thread Group 5 5-6,1048842,122,20
1623,HTTP Request Large 20MB,Thread Group 5 5-13,20971788,122,20
1081,HTTP Request Large 13MB,Thread Group 5 5-18,13631755,122,20
6,HTTP Request Little 2KB,Thread Group 5 5-18,2308,122,20
191,HTTP Request Medium 3MB,Thread Group 5 5-13,3145994,122,20
2067,HTTP Request Large 20MB,Thread Group 5 5-14,20971788,122,20
13,HTTP Request Little 2KB,Thread Group 5 5-14,2308,122,20
1432,HTTP Request Large 20MB,Thread Group 5 5-16,20971788,122,20
11,HTTP Request Little 3KB,Thread Group 5 5-19,3332,122,20
67,HTTP Request Medium 1MB,Thread Group 5 5-12,1048842,122,20
55,HTTP Request Little 1KB,Thread Group 5 5-16,1284,122,20
6,HTTP Request Little 1KB,Thread Group 5 5-20,1284,122,20
1130,HTTP Request Large 16MB,Thread Group 5 5-11,16777484,122,20
908,HTTP Request Large 13MB,Thread Group 5 5-5,13631755,122,20
898,HTTP Request Large 13MB,Thread Group 5 5-3,13631755,122,20
818,HTTP Request Large 10MB,Thread Group 5 5-7,10486027,122,20
8,HTTP Request Little 2KB,Thread Group 5 5-7,2308,122,20
2123,HTTP Request Large 20MB,Thread Group 5 5-15,20971788,122,20
6,HTTP Request Little 3KB,Thread Group 5 5-15,3332,122,20
1483,HTTP Request Large 13MB,Thread Group 5 5-10,13631755,122,20
209,HTTP Request Medium 3MB,Thread Group 5 5-11,3145994,122,20
24,HTTP Request Little 3KB,Thread Group 5 5-18,3332,122,20
1552,HTTP Request Large 20MB,Thread Group 5 5-1,20971788,122,20
757,HTTP Request Large 10MB,Thread Group 5 5-2,10486027,122,20
6,HTTP Request Little 3KB,Thread Group 5 5-14,3332,122,20
163,HTTP Request Medium 2MB,Thread Group 5 5-1,2097418,122,20
879,HTTP Request Large 13MB,Thread Group 5 5-9,13631755,122,20
2228,HTTP Request Large 20MB,Thread Group 5 5-17,20971788,122,20
7,HTTP Request Little 1KB,Thread Group 5 5-17,1284,122,20
569,HTTP Request Large 10MB,Thread Group 5 5-5,10486027,122,20
